Game,Score,Annealing Time,Fitness Score
1,22,6.71344,3.7e-005
2,19,2.83813,6e-005
3,11,0.138764,3.7e-005
4,22,15.6483,0.000122
5,7,0.089102,0.000245
6,7,11.573,0.000127
7,6,2.03519,0.000136
8,16,2.08611,2.8e-005
9,27,2.78551,1.9e-005
10,7,6.06863,0.000374
11,16,7.18435,1.9e-005
12,11,3.49186,0.000233
13,20,15.5566,0.000227
14,6,0.10296,0.000123
15,17,10.0875,0.000138
16,17,2.06445,4.5e-005
17,14,7.08491,5e-005
18,10,3.60751,0.000477
19,9,5.31245,0.000136
20,19,4.77178,3.9e-005
21,3,0.037158,0.000663
22,34,7.69858,0.000243
23,13,7.29477,0.000223
24,6,0.106681,6.4e-005
25,23,8.58663,0.000243
26,24,16.4461,0.000195
27,12,3.24854,0.000108
28,3,0.024786,0.000928
29,17,10.1201,0.000123
30,11,9.409,0.000481
31,6,0.095015,5.6e-005
32,5,0.090762,0.000121
33,15,17.3655,4e-006
34,21,1.38938,0.000337
35,18,2.48928,9.7e-005
36,16,4.60201,0.000331
37,13,7.86061,0.000964
38,9,0.201107,0.00017
39,11,3.72049,0.000152
40,24,5.38352,0.00015
41,7,0.678354,4e-005
42,13,8.99965,2e-005
43,7,4.98515,2.7e-005
44,6,0.981265,9e-005
45,6,0.125978,4.2e-005
46,16,7.3766,2.1e-005
47,12,4.8753,0.000222
48,23,3.00938,0.005528
49,10,3.63351,9e-005
50,11,4.83295,5e-005
51,15,6.31616,6e-006
52,4,0.044038,0.000734
53,19,9.52769,0.000131
54,9,2.53954,0.000203
55,7,0.095844,0.000722
56,8,0.580002,0.000113
57,4,0.054098,0.000124
58,9,2.24692,0.000101
59,14,3.04556,7e-006
60,18,5.21544,0.000106
61,37,23.7466,0.000877
62,10,5.12434,5e-005
63,32,18.6012,0.000368
64,22,10.2979,3.6e-005
65,9,0.174028,0.000309
66,8,11.4436,0.000149
67,10,2.32074,2.5e-005
68,13,0.256462,0.00015
69,12,0.256035,4.6e-005
70,17,19.7855,7.7e-005
71,7,2.70752,0.000149
72,15,17.5705,5.2e-005
73,5,2.71901,0.000256
74,12,0.769783,0.000203
75,5,0.108773,6.6e-005
76,5,0.081082,0.000319
77,12,2.10835,0.000187
78,20,9.26636,6.7e-005
79,13,1.14074,5.8e-005
80,8,0.142017,0.000128
81,10,0.181999,0.000344
82,16,3.63499,5.8e-005
83,6,2.95682,0.000292
84,11,7.80745,9.9e-005
85,24,13.8442,3.8e-005
86,31,2.46401,0.000116
87,20,3.15109,0.000274
88,17,7.6344,8e-006
89,14,2.79606,0.000588
90,15,5.73171,0.000197
91,24,16.3698,1.4e-005
92,12,2.85833,0.001345
93,15,0.269102,6.7e-005
94,12,0.593142,1.1e-005
95,19,11.5893,2.4e-005
96,3,0.034816,9.8e-005
97,50,37.5692,1.6e-005
98,10,0.210482,0.000226
99,14,2.10246,0.000428
100,20,2.4767,5e-005
101,20,12.4369,0.000194
102,9,1.80014,0.000112
103,11,3.21403,0.000121
104,12,3.14055,1.8e-005
105,25,13.5862,0.000927
106,5,0.086429,9.3e-005
107,28,16.256,0.000825
108,11,0.21816,5e-005
109,19,7.31018,9e-006
110,21,4.33463,0.000282
111,19,2.31702,0.000548
112,18,7.91407,0.000104
113,7,4.71544,0.000614
114,13,0.236628,0.000177
115,16,3.05611,9.9e-005
116,21,9.82012,4e-006
117,50,10.1803,0.00131
118,16,5.39734,5.4e-005
119,13,0.309455,0.000171
120,18,2.14956,0.000888
121,16,3.71935,7e-006
122,9,1.78534,0.000239
123,10,0.240111,0.000757
124,7,1.84849,2.3e-005
125,12,2.66808,0.000249
126,31,25.9441,0.000258
127,40,24.8116,0.000118
128,10,0.517345,5.8e-005
129,5,0.194181,0.000178
130,7,1.57169,0.000338
131,5,0.437931,3.9e-005
132,16,10.1861,7.7e-005
133,16,9.3275,4.3e-005
134,16,1.97674,3.9e-005
135,8,5.00036,0.000281
136,48,18.5306,0.000155
137,6,5.36891,7.3e-005
